Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,Portfolio Value
2018-05-23,3742.50,5202.50,12786.00,27749.50,20784.00,70264.5
2018-05-24,3712.50,5344.50,12936.00,27328.00,20947.50,70268.5
2018-05-25,3799.00,5385.00,12923.50,27585.00,21160.00,70852.5
2018-05-28,3789.00,5461.50,13218.50,27901.50,20949.50,71320.0
2018-05-29,3778.50,5477.50,12995.00,27960.50,20771.00,70982.5
2018-05-30,3744.00,5416.50,12938.50,27629.00,21186.50,70914.5
2018-05-31,3921.50,5459.00,13046.50,27503.00,21099.00,71029.0
2018-06-01,3876.00,5366.50,12930.50,28965.50,20774.00,71912.5
2018-06-04,3785.50,5370.50,12844.50,28785.00,20628.50,71414.0
2018-06-05,3736.00,5309.00,12736.00,28475.50,21006.00,71262.5
2018-06-06,3758.00,5314.00,12628.00,28852.50,21606.50,72159.0
2018-06-07,3800.50,5424.00,12908.00,28886.00,21694.50,72713.0
2018-06-08,3805.00,5374.00,12788.50,28740.50,21868.50,72576.5
2018-06-11,3823.00,5399.50,12833.00,28811.00,22503.00,73369.5
2018-06-12,3889.00,5371.50,12877.00,28872.50,22612.50,73622.5
2018-06-13,3828.50,5406.50,12864.00,29079.50,22310.50,73489.0
